5.00,11.00,16.00,23.00,36.00,58.00,29.00,20.00,10.00,8.00,3.00:0.00
11.00,16.00,23.00,36.00,58.00,29.00,20.00,10.00,8.00,3.00,0.00:0.00
16.00,23.00,36.00,58.00,29.00,20.00,10.00,8.00,3.00,0.00,0.00:2.00
23.00,36.00,58.00,29.00,20.00,10.00,8.00,3.00,0.00,0.00,2.00:11.00
36.00,58.00,29.00,20.00,10.00,8.00,3.00,0.00,0.00,2.00,11.00:27.00
58.00,29.00,20.00,10.00,8.00,3.00,0.00,0.00,2.00,11.00,27.00:47.00
29.00,20.00,10.00,8.00,3.00,0.00,0.00,2.00,11.00,27.00,47.00:63.00
20.00,10.00,8.00,3.00,0.00,0.00,2.00,11.00,27.00,47.00,63.00:60.00
10.00,8.00,3.00,0.00,0.00,2.00,11.00,27.00,47.00,63.00,60.00:39.00
8.00,3.00,0.00,0.00,2.00,11.00,27.00,47.00,63.00,60.00,39.00:28.00
3.00,0.00,0.00,2.00,11.00,27.00,47.00,63.00,60.00,39.00,28.00:26.00
0.00,0.00,2.00,11.00,27.00,47.00,63.00,60.00,39.00,28.00,26.00:22.00
0.00,2.00,11.00,27.00,47.00,63.00,60.00,39.00,28.00,26.00,22.00:11.00
2.00,11.00,27.00,47.00,63.00,60.00,39.00,28.00,26.00,22.00,11.00:21.00
11.00,27.00,47.00,63.00,60.00,39.00,28.00,26.00,22.00,11.00,21.00:40.00
27.00,47.00,63.00,60.00,39.00,28.00,26.00,22.00,11.00,21.00,40.00:78.00
47.00,63.00,60.00,39.00,28.00,26.00,22.00,11.00,21.00,40.00,78.00:122.00
63.00,60.00,39.00,28.00,26.00,22.00,11.00,21.00,40.00,78.00,122.00:103.00
60.00,39.00,28.00,26.00,22.00,11.00,21.00,40.00,78.00,122.00,103.00:73.00
39.00,28.00,26.00,22.00,11.00,21.00,40.00,78.00,122.00,103.00,73.00:47.00
28.00,26.00,22.00,11.00,21.00,40.00,78.00,122.00,103.00,73.00,47.00:35.00
26.00,22.00,11.00,21.00,40.00,78.00,122.00,103.00,73.00,47.00,35.00:11.00
22.00,11.00,21.00,40.00,78.00,122.00,103.00,73.00,47.00,35.00,11.00:5.00
11.00,21.00,40.00,78.00,122.00,103.00,73.00,47.00,35.00,11.00,5.00:16.00
21.00,40.00,78.00,122.00,103.00,73.00,47.00,35.00,11.00,5.00,16.00:34.00
40.00,78.00,122.00,103.00,73.00,47.00,35.00,11.00,5.00,16.00,34.00:70.00
78.00,122.00,103.00,73.00,47.00,35.00,11.00,5.00,16.00,34.00,70.00:81.00
122.00,103.00,73.00,47.00,35.00,11.00,5.00,16.00,34.00,70.00,81.00:111.00
103.00,73.00,47.00,35.00,11.00,5.00,16.00,34.00,70.00,81.00,111.00:101.00
73.00,47.00,35.00,11.00,5.00,16.00,34.00,70.00,81.00,111.00,101.00:73.00
47.00,35.00,11.00,5.00,16.00,34.00,70.00,81.00,111.00,101.00,73.00:40.00
35.00,11.00,5.00,16.00,34.00,70.00,81.00,111.00,101.00,73.00,40.00:20.00
11.00,5.00,16.00,34.00,70.00,81.00,111.00,101.00,73.00,40.00,20.00:16.00
5.00,16.00,34.00,70.00,81.00,111.00,101.00,73.00,40.00,20.00,16.00:5.00
16.00,34.00,70.00,81.00,111.00,101.00,73.00,40.00,20.00,16.00,5.00:11.00
34.00,70.00,81.00,111.00,101.00,73.00,40.00,20.00,16.00,5.00,11.00:22.00
70.00,81.00,111.00,101.00,73.00,40.00,20.00,16.00,5.00,11.00,22.00:40.00
81.00,111.00,101.00,73.00,40.00,20.00,16.00,5.00,11.00,22.00,40.00:60.00
111.00,101.00,73.00,40.00,20.00,16.00,5.00,11.00,22.00,40.00,60.00:80.90
101.00,73.00,40.00,20.00,16.00,5.00,11.00,22.00,40.00,60.00,80.90:83.40
73.00,40.00,20.00,16.00,5.00,11.00,22.00,40.00,60.00,80.90,83.40:47.70
40.00,20.00,16.00,5.00,11.00,22.00,40.00,60.00,80.90,83.40,47.70:47.80
20.00,16.00,5.00,11.00,22.00,40.00,60.00,80.90,83.40,47.70,47.80:30.70
16.00,5.00,11.00,22.00,40.00,60.00,80.90,83.40,47.70,47.80,30.70:12.20
5.00,11.00,22.00,40.00,60.00,80.90,83.40,47.70,47.80,30.70,12.20:9.60
11.00,22.00,40.00,60.00,80.90,83.40,47.70,47.80,30.70,12.20,9.60:10.20
22.00,40.00,60.00,80.90,83.40,47.70,47.80,30.70,12.20,9.60,10.20:32.40
40.00,60.00,80.90,83.40,47.70,47.80,30.70,12.20,9.60,10.20,32.40:47.60
60.00,80.90,83.40,47.70,47.80,30.70,12.20,9.60,10.20,32.40,47.60:54.00
80.90,83.40,47.70,47.80,30.70,12.20,9.60,10.20,32.40,47.60,54.00:62.90
83.40,47.70,47.80,30.70,12.20,9.60,10.20,32.40,47.60,54.00,62.90:85.90
47.70,47.80,30.70,12.20,9.60,10.20,32.40,47.60,54.00,62.90,85.90:61.20
47.80,30.70,12.20,9.60,10.20,32.40,47.60,54.00,62.90,85.90,61.20:45.10
30.70,12.20,9.60,10.20,32.40,47.60,54.00,62.90,85.90,61.20,45.10:36.40
12.20,9.60,10.20,32.40,47.60,54.00,62.90,85.90,61.20,45.10,36.40:20.90
9.60,10.20,32.40,47.60,54.00,62.90,85.90,61.20,45.10,36.40,20.90:11.40
10.20,32.40,47.60,54.00,62.90,85.90,61.20,45.10,36.40,20.90,11.40:37.80
32.40,47.60,54.00,62.90,85.90,61.20,45.10,36.40,20.90,11.40,37.80:69.80
47.60,54.00,62.90,85.90,61.20,45.10,36.40,20.90,11.40,37.80,69.80:106.10
54.00,62.90,85.90,61.20,45.10,36.40,20.90,11.40,37.80,69.80,106.10:100.80
62.90,85.90,61.20,45.10,36.40,20.90,11.40,37.80,69.80,106.10,100.80:81.60
85.90,61.20,45.10,36.40,20.90,11.40,37.80,69.80,106.10,100.80,81.60:66.50
61.20,45.10,36.40,20.90,11.40,37.80,69.80,106.10,100.80,81.60,66.50:34.80
45.10,36.40,20.90,11.40,37.80,69.80,106.10,100.80,81.60,66.50,34.80:30.60
36.40,20.90,11.40,37.80,69.80,106.10,100.80,81.60,66.50,34.80,30.60:7.00
20.90,11.40,37.80,69.80,106.10,100.80,81.60,66.50,34.80,30.60,7.00:19.80
11.40,37.80,69.80,106.10,100.80,81.60,66.50,34.80,30.60,7.00,19.80:92.50
